,Date,Quantity
0,2009-01-01,8883700
1,2009-02-01,9290450
2,2009-03-01,8509116
3,2009-04-01,7403548
4,2009-05-01,9220236
5,2009-06-01,7954604
6,2009-07-01,8051932
7,2009-08-01,7815108
8,2009-09-01,8107708
9,2009-10-01,7634984
10,2009-11-01,7650944
11,2009-12-01,7437220
12,2010-01-01,6166915
13,2010-02-01,7088200
14,2010-03-01,8372924
15,2010-04-01,11504608
16,2010-05-01,8691088
17,2010-06-01,8684284
18,2010-07-01,7122115
19,2010-08-01,8653484
20,2010-09-01,8376257
21,2010-10-01,7627620
22,2010-11-01,7593180
23,2010-12-01,6701555
24,2011-01-01,8292424
25,2011-02-01,6583416
26,2011-03-01,8176280
27,2011-04-01,7443016
28,2011-05-01,8094968
29,2011-06-01,10336612
30,2011-07-01,8269464
31,2011-08-01,7385055
32,2011-09-01,7663544
33,2011-10-01,7968632
34,2011-11-01,9284468
35,2011-12-01,7822052
36,2012-01-01,7211008
37,2012-02-01,4509590
38,2012-03-01,7607516
39,2012-04-01,8644053
40,2012-05-01,7162302
41,2012-06-01,7579152
42,2012-07-01,7898143
43,2012-08-01,6371461
44,2012-09-01,7004480
45,2012-10-01,7008484
46,2012-11-01,6859636
47,2012-12-01,6583360
48,2013-01-01,5364385
49,2013-02-01,5688536
50,2013-03-01,6444050
51,2013-04-01,6485388
52,2013-05-01,6196026
53,2013-06-01,7228453
54,2013-07-01,6880272
55,2013-08-01,7030212
56,2013-09-01,6655572
57,2013-10-01,6317141
58,2013-11-01,5795893
59,2013-12-01,6734532
60,2014-01-01,6263470
61,2014-02-01,5644016
62,2014-03-01,6365854
63,2014-04-01,6345892
64,2014-05-01,5879047
65,2014-06-01,5936700
66,2014-07-01,6686276
67,2014-08-01,5191068
68,2014-09-01,6295828
69,2014-10-01,5539751
70,2014-11-01,6127660
71,2014-12-01,6046502
72,2015-01-01,6224820
73,2015-02-01,6742014
74,2015-03-01,6590080
75,2015-04-01,6433635
76,2015-05-01,6288912
77,2015-06-01,6403038
78,2015-07-01,6620413
79,2015-08-01,6697936
80,2015-09-01,5972672
81,2015-10-01,6164788
82,2015-11-01,7887268
83,2015-12-01,6859020
84,2016-01-01,8168424
85,2016-02-01,6425776
86,2016-03-01,6336943
87,2016-04-01,6393632
88,2016-05-01,7322547
89,2016-06-01,6350456
90,2016-07-01,7315150
91,2016-08-01,6329509
92,2016-09-01,6753964
93,2016-10-01,7077835
94,2016-11-01,6739348
95,2016-12-01,6747035
96,2017-01-01,7358708
97,2017-02-01,7418503
98,2017-03-01,7087192
99,2017-04-01,8582697
100,2017-05-01,7407512
101,2017-06-01,8145363
102,2017-07-01,6870332
103,2017-08-01,7610488
104,2017-09-01,6151824
105,2017-10-01,6670308
106,2017-11-01,6445827
107,2017-12-01,6754860
108,2018-01-01,7854985
109,2018-02-01,5878376
110,2018-03-01,6471009
111,2018-04-01,6933024
112,2018-05-01,6466543
113,2018-06-01,7119924
114,2018-07-01,7264186
115,2018-08-01,6934368
116,2018-09-01,7270727
117,2018-10-01,6383300
118,2018-11-01,6436791
119,2018-12-01,6138720
120,2019-01-01,8040343
121,2019-02-01,4991196
122,2019-03-01,7233185
123,2019-04-01,5878824
124,2019-05-01,7692760
125,2019-06-01,6007764
126,2019-07-01,6977745
127,2019-08-01,6027644
128,2019-09-01,5148236
129,2019-10-01,5417804
130,2019-11-01,6222023
131,2019-12-01,5931436
132,2020-01-01,6428431
133,2020-02-01,5293652
134,2020-03-01,5482265
135,2020-04-01,4656652
136,2020-05-01,5283404
137,2020-06-01,6071436
138,2020-07-01,5126436
139,2020-08-01,6020109
140,2020-09-01,4533928
141,2020-10-01,5331091
142,2020-11-01,4722340
143,2020-12-01,5000716
144,2021-01-01,4552805
145,2021-02-01,4406668
146,2021-03-01,6387952
147,2021-04-01,4890480
148,2021-05-01,5329425
149,2021-06-01,5588324
150,2021-07-01,5553576
151,2021-08-01,5721645
152,2021-09-01,5481140
153,2021-10-01,6505064
154,2021-11-01,5320280
155,2021-12-01,5051970
156,2022-01-01,5545722
157,2022-02-01,4829216
158,2022-03-01,5729190
159,2022-04-01,5090036
160,2022-05-01,5684553
161,2022-06-01,5437908
162,2022-07-01,5726308
163,2022-08-01,5601889
164,2022-09-01,5265960
165,2022-10-01,7416613
166,2022-11-01,5252296
167,2022-12-01,5522174
168,2023-01-01,5494692
169,2023-02-01,5198508
170,2023-03-01,4937534
171,2023-04-01,5225024
172,2023-05-01,5954945
173,2023-06-01,5474812
174,2023-07-01,5472572
175,2023-08-01,5937846
176,2023-09-01,5574408
177,2023-10-01,6011983
178,2023-11-01,5817728
179,2023-12-01,6543213
180,2024-01-01,5751256
181,2024-02-01,5307176
182,2024-03-01,5548315
183,2024-04-01,5522384
184,2024-05-01,6524690
185,2024-06-01,5596164
186,2024-07-01,6978007
187,2024-08-01,5487860
188,2024-09-01,5422284
