,date,weighted_sentiment,total_count,sentiment_category
0,2015-07-01,0.8693117794486218,7.0,Positive
1,2015-08-01,0.7887757527733756,7.0,Positive
2,2015-09-01,0.5258988678090576,8.0,Neutral
3,2015-10-01,0.7682827925045704,10.0,Positive
4,2015-11-01,0.8216508305647843,7.0,Positive
5,2015-12-01,0.973,2.0,Positive
6,2016-01-01,0.7668537853107344,6.0,Positive
7,2016-02-01,0.8791375169147496,13.0,Positive
8,2016-03-01,0.9263420957868204,8.0,Positive
9,2016-04-01,0.8132920338983052,7.0,Positive
10,2016-05-01,0.963807735114079,7.0,Positive
11,2016-06-01,0.8428859232175502,5.0,Positive
12,2016-07-01,0.6804682412874842,18.0,Neutral
13,2016-08-01,0.8014809203142536,4.0,Positive
14,2016-09-01,0.7948174760488932,8.0,Positive
15,2016-10-01,0.8229707561185394,14.0,Positive
16,2016-11-01,0.4017836575500771,19.0,Neutral
17,2016-12-01,0.6665654661939417,17.0,Neutral
18,2017-01-01,0.5262695786581176,17.0,Neutral
19,2017-02-01,0.7510898169336384,12.0,Positive
20,2017-03-01,0.9556511145671333,7.0,Positive
21,2017-04-01,0.6163735820519284,12.0,Neutral
22,2017-05-01,0.8943013987192451,14.0,Positive
23,2017-06-01,0.6589616868798234,9.0,Neutral
24,2017-07-01,0.7836156636217085,15.0,Positive
25,2017-08-01,0.8926077792455599,12.0,Positive
26,2017-09-01,0.9415021747726375,9.0,Positive
27,2017-10-01,0.9011557294718341,25.0,Positive
28,2017-11-01,0.9707080912863072,28.0,Positive
29,2017-12-01,0.7014518607442977,14.0,Positive
30,2018-01-01,0.7771755649366774,13.0,Positive
31,2018-02-01,0.9452370126705653,32.0,Positive
32,2018-03-01,0.9778406440866186,16.0,Positive
33,2018-04-01,0.7193068633952254,21.0,Positive
34,2018-05-01,0.9345542229729729,32.0,Positive
35,2018-06-01,0.9624220866417562,20.0,Positive
36,2018-07-01,0.5534705291359678,12.0,Neutral
37,2018-08-01,0.8179867664670657,23.0,Positive
38,2018-09-01,0.9355100509246851,17.0,Positive
39,2018-10-01,0.9305921477677461,32.0,Positive
40,2018-11-01,0.9610701479376897,31.0,Positive
41,2018-12-01,0.904506334841629,18.0,Positive
42,2019-01-01,0.867416535255688,33.0,Positive
43,2019-02-01,0.9121029204785361,33.0,Positive
44,2019-03-01,0.9353546689456637,16.0,Positive
45,2019-04-01,0.8537710378044348,27.0,Positive
46,2019-05-01,0.8411833628318584,27.0,Positive
47,2019-06-01,0.5812280941949617,18.0,Neutral
48,2019-07-01,0.40077211419964404,53.0,Neutral
49,2019-08-01,0.1866593673469388,38.0,Negative
50,2019-09-01,0.6821243104806936,12.0,Neutral
51,2019-10-01,0.8036213532681618,20.0,Positive
52,2019-11-01,0.8586539397627015,15.0,Positive
53,2019-12-01,0.8043461873638346,13.0,Positive
54,2020-01-01,0.8158204996577688,16.0,Positive
55,2020-02-01,0.7909240489491887,19.0,Positive
56,2020-03-01,0.7457628059440559,28.0,Positive
57,2020-04-01,0.06823593020896737,58.0,Negative
58,2020-05-01,0.42839513657935063,39.0,Neutral
59,2020-06-01,0.8650394644968129,43.0,Positive
60,2020-07-01,0.537419414438989,44.0,Neutral
61,2020-08-01,0.47428707375690593,58.0,Neutral
62,2020-09-01,0.37973994970862934,36.0,Negative
63,2020-10-01,0.5919052516662835,51.0,Neutral
64,2020-11-01,0.5388715530503512,51.0,Neutral
65,2020-12-01,0.6874525593481361,137.0,Neutral
66,2021-01-01,0.5517653128926915,191.0,Neutral
67,2021-02-01,0.3578803782787774,347.0,Negative
68,2021-03-01,0.3793216110328788,1054.0,Negative
69,2021-04-01,0.33502701884976915,1126.0,Negative
70,2021-05-01,0.274945034082742,982.0,Negative
71,2021-06-01,0.25389033954514784,1157.0,Negative
72,2021-07-01,0.452452597609838,782.0,Neutral
73,2021-08-01,0.33975976120499335,578.0,Negative
74,2021-09-01,0.2950195442517368,683.0,Negative
75,2021-10-01,0.3881962408049345,1065.0,Negative
76,2021-11-01,0.38029420214717913,820.0,Negative
77,2021-12-01,0.3851623562412465,1001.0,Negative
78,2022-01-01,0.34734750084233607,1278.0,Negative
79,2022-02-01,0.2963821403192127,1403.0,Negative
80,2022-03-01,0.2314748398438003,1678.0,Negative
81,2022-04-01,0.30916309537989123,1214.0,Negative
82,2022-05-01,0.2522815509758581,1198.0,Negative
83,2022-06-01,0.2627239094279328,1304.0,Negative
84,2022-07-01,0.3013253189726693,1405.0,Negative
85,2022-08-01,0.3218006967908247,1184.0,Negative
86,2022-09-01,0.37286123856710474,1026.0,Negative
87,2022-10-01,0.34727574751539714,1241.0,Negative
88,2022-11-01,0.3568172440955526,1112.0,Negative
89,2022-12-01,0.38252937993773023,921.0,Negative
90,2023-01-01,0.3825349084069946,1165.0,Negative
91,2023-02-01,0.4112040647749413,936.0,Neutral
92,2023-03-01,0.4147439831054564,871.0,Neutral
93,2023-04-01,0.4641821927165788,807.0,Neutral
94,2023-05-01,0.436944992261247,758.0,Neutral
95,2023-06-01,0.4370381779524566,552.0,Neutral
96,2023-07-01,0.449108665203938,696.0,Neutral
97,2023-08-01,0.4316228370054379,660.0,Neutral
98,2023-09-01,0.38757726799355696,794.0,Negative
99,2023-10-01,0.3719622648849942,1386.0,Negative
100,2023-11-01,0.3841882143400128,892.0,Negative
101,2023-12-01,0.43297491867935506,804.0,Neutral
102,2024-01-01,0.424993184565098,661.0,Neutral
103,2024-02-01,0.4300891711097166,663.0,Neutral
104,2024-03-01,0.5057921886297266,364.0,Neutral
105,2024-04-01,0.3908151920678951,724.0,Negative
106,2024-05-01,0.42526336647466,700.0,Neutral
107,2024-06-01,0.4767896364916643,485.0,Neutral
108,2024-07-01,0.41329782534161635,658.0,Neutral
109,2024-08-01,0.5303960750278405,510.0,Neutral
110,2024-09-01,0.629329169203063,325.0,Neutral
111,2024-10-01,0.6110044716521533,269.0,Neutral
112,2024-11-01,0.2507942461949815,19.0,Negative
